id,status,scope,artifact,source,protocol,notes
E1,accepted,standard_prediction_20_step,/data/zs/multiseed_standard_eval_20260910T074115Z/e1_handoff_review/E1_ACCEPTANCE.md,/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery,GreenEarthNet chopped q1_full official LC-balanced scorer,3 seeds 27/42/97 x 4 splits; mean plus sample SD; no new inference in this review
DONOR_V8,accepted,corrected_mask_matched_donor,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/corrected_mask_recompute_20260910T071500Z,Corrected-mask training-pool calibration and frozen A14B donor protocol,Four split packages; full suffix and endpoint are separate scopes
DONOR_STATS,derived,corrected_mask_matched_donor,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/mechanism_summary.csv,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z,Same as DONOR_V8,Reuses accepted paired rows; no inference or score recomputation
PATH_CI,derived,c1_fsr_common_suffix,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/statistics/paired_statistics.csv,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/formal_suffix_v3_iid_full_20260908T100000Z and fixedstep_r_20260910T110000Z,Common suffix A/B path output MAE,Paired by dataset_index/cube/season/suffix_horizon; geo-cluster bootstrap; excludes n_valid <= 0 and mask/target mismatches
PATH_DETAIL,derived,c1_fsr_common_suffix,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_closure_final/statistics/paired_path_differences.csv,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/formal_suffix_v3_* and fixedstep_r_20260910T110000Z,Common suffix A/B path output MAE,Row-level provenance and reusable paired values
LEAVEOUT_DEV,accepted_development_diagnostic,dev476_leaveout,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/reports/leaveout_q4_formal_dev476_v1.json,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/reports,9 fixed combinations,Not independent heldout generalization
LEAVEOUT_IID,accepted_tested_scope,iid2856_leaveout,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/reports/leaveout_q4_formal_iid2856_v1.json,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/reports,9 fixed combinations,Supports only C1 seed42 and the tested IID scope
FSR,accepted_control_with_caveats,fixed_step_recursive_control,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/fixedstep_r_20260910T110000Z/reports/FIXEDSTEP_R_REPORT.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/fixedstep_r_20260910T110000Z,Fixed 5-day recursive endpoints 10=(5,5), 15=(5,5,5), 20=(5,5,5,5),Same parent and seed42; report has unresolved placeholders in early sections and 1.1243 transition-compute asymmetry
FSR_QA,accepted_supporting_record,fixed_step_recursive_control,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/fixedstep_r_20260910T110000Z/reports/FIXEDSTEP_R_QA.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/fixedstep_r_20260910T110000Z,Same as FSR,Use with FSR report for implementation and QA facts; no consistency-regularizer arm
FIGURES,reused_accepted,first_dataset_figures,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_tables_figures_20260910T080000Z,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_tables_figures_20260910T080000Z,F3/F5/F8 and corrected Table 4B/6B/Fig7,Package records visual QA and full-horizon semantics
MISSING,known_gap,method_controls,direct_plus_consistency_control and formal_compute_matched_efficiency,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/method_control_audit_20260910T090000Z/AUDIT_METHOD_CONTROLS.md,Not available in reviewed evidence,No new experiment started; do not claim these controls exist
LOCAL_REFERENCE,unavailable,statistical_review,C:\\Users\\32084\\Documents\\CVPRAAAI投稿2\\tip_review\\20260910\\TIP_结果复核与实验优化_20260910.md,Local workspace,Not applicable,File was not present in the current local workspace and was not silently substituted
