item_id,kind,name,source_path,identity,status,deliverable_path,notes,evidence_role,presentation_order,question,conclusion,caption
T1,table,标准预测主表（C1 3 seed × 4 split + 同协议基线）,/data/zs/multiseed_standard_eval_20260910T074115Z/E1_table_delivery,C1 seeds 27/42/97; baselines A08 同协议,completed_reusable,tables/Table1_standard_prediction.md,已由阶段①ACCEDPTED；4 条 caveat 见 E1_ACCEPTANCE.md,core_foundation,1,同协议标准预测下 TerraState-C1 处于什么水平？,官方 LC-balanced 指标（三 seed × 四 split）与同协议重评基线并排；C1 具备竞争力，但并非每项最优,Table 1. GreenEarthNet 第一数据集标准预测（LC-balanced；均值±样本std，n=3）
T3,table,训练机制比较（C0R vs C1，四卡正式配对）,/data/zs/WorldModel2026/terrastate/ops/candidate_c_nightly/20260820T155316Z/formal,parent=a5d2a0cc28ad7c01… seed=42 world=4,completed_reusable,tables/Table3_training_mechanism.md,"C0R 标准预测为本轮补测；已完成 split=['iid_chopped', 'ood-s_chopped_repaired_v2', 'ood-st_chopped', 'ood-t_chopped']",core_cost,2,递归分段端点训练相对直接端点训练的代价与收益分别是什么？,两臂同 parent / seed / 步数配对；标准预测上 C0R 的 R²_LC 四 split 一致略高（+0.0026~+0.0049），但九个留出分段的组合稳定性只有 C1 全部落在 1.05 MSE 比值门内,Table 3. C0R vs C1 训练机制比较（身份、标准预测、分段稳定性）
T4A,table,状态承载 full vs alpha0/T_identity,/data/zs/WorldModel2026/terrastate/evaluations/candidate_c_q1q2q3_20260830T072737Z,C1 seed42,completed_reusable,tables/Table4A_state_load_bearing.md,点估计与配对 CI 均来自同一 paired 集合,core,4,显式动态状态是否真的被使用？,去掉 T 贡献或把转移换成恒等都会退化；配对 ΔR² 的 95% CI 不含 0（四 split）,Table 4A. 状态承载（full vs alpha0 / T_identity）
T4B,table,中间状态替换（corrected-mask matched-donor）,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/corrected_mask_recompute_20260910T071500Z/merged,C1 seed42,completed_reusable,tables/Table4B_state_intervention_corrected.md,本轮重算为三口径自洽：receiver 等权点估计与原 v8 表逐位一致,core_headline,4,把中间状态替换为匹配 donor 的状态，是否会损害后续预测质量？,主口径 receiver 等权：完整后缀四 split 点估计全部为正、CI 下界全部 > 0；单终点 h10 上 OOD-st 的 receiver 等权 CI 下界 > 0，而同一 split 的地理组等权 CI 跨 0,Table 4B. 中间状态替换（主口径 receiver 等权 + 两种敏感性口径）
T5,table,天气条件作用（热旱子集 + 匹配正常对照）,/data/zs/WorldModel2026/terrastate/evaluations/candidate_c_q1q2q3_20260830T072737Z/q3/extreme_state_audit.json,"C1；n_extreme=84, n_control=45",completed_reusable,tables/Table5_weather_response.md,只覆盖冻结热旱子集；总体/分层与代表模型本轮未做,supporting,5,模型是否真实使用天气输入？响应幅度与损失收益分别如何？,ΔLoss 两个比较均为正且 CI 不含 0；热旱相对正常的**响应幅度**差在 mean 替换下显著，而**损失收益**差在 donor 替换下不显著,Table 5. 天气条件作用（冻结热旱子集 + 匹配正常对照）
T6A,table,留出分段组合稳定性（9 分段）,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/reports/leaveout_q4_formal_*,C1 seed42,completed_reusable,tables/Table6A_leaveout_partitions.md,IID2856 确认集与 dev476 开发诊断分开,core,3,任意留出分段组合是否稳定？,IID2856 确认集与 dev476 开发诊断分开报告；九个留出分段的 composed/direct 比值在容差内,Table 6A. 留出分段的组合稳定性（九分段）
T6B,table,共同后缀与状态功能（四 split）,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/evidence_v8_corrected_mask_20260910T074500Z,C1 seed42,completed_reusable,tables/Table6B_common_suffix.md,D20/A/B/donor；非逐步递归,core_headline,3,中间状态在不同推进路径下能否接续预测未来影像？,D20/A/B/donor 使用同一段后续天气与同一读出时刻；四个 split 的 pooled RMSE 与 pooled R² 完整给出,Table 6B. 共同后缀与状态功能（corrected-mask，四 split）
T7,table,效率与状态复用成本,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/fixedstep_r_20260910T110000Z/eval/efficiency.json + /data/zs/WorldModel2026/terrastate/ops/.../summary.json,C0R/C1 四卡正式,completed_reusable,tables/Table7_efficiency_state_reuse.md,训练墙钟/参数为历史记录；C1 运行时为本轮新增测量（受限条件）,supporting,6,训练成本与状态复用的运行成本各是多少？,训练墙钟为历史记录；运行时按阶段测量（history / prefix / suffix / model_hash / save / restore / 传输），成本随查询数 B 变化，不报单一倍率,Table 7. 效率与状态复用成本（分阶段，受限测量）
F1,figure,科学问题示意图,旧设计图 2026-07-29,—,missing_this_round,figures/FIG1_FIG2_DRAWING_SPEC.md,仅交付绘图说明；旧图未经本轮代码核对,pending,,科学问题示意,只交付绘图说明；最终图未绘制,Fig. 1（待绘制）科学问题示意图
F2,figure,方法/架构图,旧设计图 2026-07-29,—,missing_this_round,figures/FIG1_FIG2_DRAWING_SPEC.md,同上,pending,,方法与架构示意,只交付绘图说明；最终图未绘制,Fig. 2（待绘制）方法/架构示意图
