utc,item,kind,scope,resource,pid,log_or_output,status,notes
2026-09-11T07:24:26Z,C0R standard prediction (q1_full),eval,iid_chopped,dilab GPU 0-5 (4 jobs in parallel),3758022,logs/c0r_std_iid_chopped.log,done,pid as recorded at launch time in the v1 ledger; the retained log records status=COMPLETE but not the pid
2026-09-11T07:22:08Z,C0R standard prediction (q1_full),eval,ood-t_chopped,dilab GPU 0-5 (4 jobs in parallel),3758025,logs/c0r_std_ood-t_chopped.log,done,pid as recorded at launch time in the v1 ledger; the retained log records status=COMPLETE but not the pid
2026-09-11T07:33:25Z,C0R standard prediction (q1_full),eval,ood-st_chopped,dilab GPU 0-5 (4 jobs in parallel),3758028,logs/c0r_std_ood-st_chopped.log,done,pid as recorded at launch time in the v1 ledger; the retained log records status=COMPLETE but not the pid
2026-09-11T07:42:38Z,C0R standard prediction (q1_full),eval,ood-s_chopped_repaired_v2,dilab GPU 0-5 (4 jobs in parallel),3758031,logs/c0r_std_ood-s_chopped_repaired_v2.log,done,rerun as _repaired_v2 after the first ood-s attempt left a partially written score parquet; code/paired_c0r_c1.py now refuses a split without a complete state_contract_exclusive.json
2026-09-11T09:11:41Z,C1 runtime state measurement (single run),measurement,C1 seed42； one real sample； 4 identical queries,A100-40GB； batch 1； fp32； inference only,-,metrics/T7_c1_runtime.json,done,limited conditions: shared node; phases recorded separately; no single speedup claimed
2026-09-11T09:11:11Z,T4B three-convention bootstrap,statistics,4 splits x 2 scopes x 3 conventions,CPU,-,tables/Table4B_state_intervention_corrected.csv,done,receiver-equal declared the MAIN convention a priori; other two are sensitivity
2026-09-11T09:15:05Z,C0R vs C1 paired spatial-group bootstrap,statistics,4 splits (all complete),CPU,-,metrics/T3_c0r_vs_c1_paired_bootstrap.json,done,primary grouping = v1 rule (tile-first； 0.1-deg fallback); 0.5-deg added as sensitivity
2026-09-11T09:20:02Z,Table generation,postprocess,all tables,CPU,-,tables/,done,regenerated from existing products only; no re-inference
2026-09-11T09:20:03Z,Figure generation,postprocess,all figures,CPU,-,figures/,done,F5/F9 redrawn this round; F3/F6/F7/F8 reused; F1/F2 shipped as a drawing spec
2026-09-11T09:20:00Z,Acceptance: per-record pairing check,acceptance,C0R vs C1； 4 splits,CPU,-,reports/PAIRING_CHECK.md,done,checks id/season/coords/landcover/n_obs agreement per score record; no re-scoring
2026-09-11T09:34:19Z,Reports and review entry,postprocess,all,CPU,-,reports/,done,also rewrites REVIEW_START_HERE.md; claims reworded per the corrected convention
2026-09-11T09:11:11Z,Retention: prediction images deleted； sufficient statistics kept,housekeeping,metrics/c0r_q1_standard/*/q1_full/pred,filesystem,-,provenance/RETENTION_AND_DELETION.md,done,irreversible; every claim in this package is computable from the retained score/ files
