claim,support_level,evidence_role,where,evidence,scope_and_limits
C1 在标准预测上具备竞争力,limited,core_foundation,"Table 1, Fig. 3, Fig. 5",T1：C1 三 seed 四 split 与同协议基线并排；C1 并非每项最优（若干 split 上 PredRNN/Contextformer 更低 RMSE）,同协议实测；不混文献数值；不做单指标胜负宣告
C1 的中间状态在不同推进路径下仍能继续预测,supported,core_headline,"Table 6A, Table 6B, Fig. 7",T6B 四 split：D20/A/B 的 pooled RMSE 与 pooled R² 完整给出；T6A：九个留出分段 composed/direct 比值全部在 1.05 门内,限已测九个分段与有限窗口；1.05 是 MSE 比值门，不是 5% RMSE
替换匹配的中间状态会降低后续预测质量,supported_with_a_stated_exception,core_headline,Table 4B,T4B **主口径（receiver 等权，预先声明）** 在四个 split 的**完整后缀**范围上：ΔMSE 点估计全部为正、CI 下界全部 > 0；同一范围下另两种敏感性口径（地理组等权 / 有效像素 pooled）的 CI 下界亦全部 > 0。**例外**：**单终点 h10** 范围上，OOD-st 的 receiver 等权 CI 下界 > 0，但同一 split 的**地理组等权 CI 跨 0**,**不得写成“所有窗口、所有口径均显著”**。条件于已固定的 donor 匹配方案；不代表物理因果，也不代表状态充分
显式动态状态被实际使用（非静态张量）,supported,core,Table 4A,T4A：full 优于 alpha0/T_identity；配对 ΔR² 的 95% CI 不含 0（四 split）,移除臂比较是功能性检查，不是完整物理状态证明
模型响应真实天气输入,limited,supporting,"Table 5, Fig. 8",T5：冻结热旱子集上 actual vs donor / actual vs mean 的 ΔLoss 均为正且 CI 不含 0。但**响应幅度**与**损失收益**必须分开读：热旱相对正常的**响应幅度**差在 mean 替换下显著（resp_mean），而**损失收益**差在 donor 替换下**不显著**（dloss_donor 的 CI 跨 0）,只覆盖冻结热旱子集及匹配正常对照；总体范围与代表模型本轮未测；**响应幅度 ≠ 损失收益**，不得用前者推断后者
递归分段端点训练相对直接端点训练改善分段稳定性,supported,core_headline,"Table 3.3, Fig. 6",T3.3：C1 九个 held-out 比值 1.0005–1.0275 全在门内；C0R 1.0709–1.3246 全部超门,限已测分段；C0R 为标准预测上略优，说明该增益是关于分段稳定性而非整体精度
C1 在标准预测精度上优于 C0R,not_supported,counter_evidence,Table 3.2,T3.2（四 split 全测）：C0R 的 R²_LC 在 iid 0.5251 / ood-t 0.5765 / ood-st 0.5456 / ood-s 0.4975，全部高于 C1 的 0.5220 / 0.5726 / 0.5408 / 0.4949；RMSE 亦全部更低,差异幅度小（R² +0.0026~+0.0049），但方向在四个 split 上一致；不得写成 C1 全面更优
C0R 与 C1 的标准预测差异（只给点估计与 CI，不作非劣性判定）,descriptive_only,counter_evidence,Table 3.2b,"T3.2b 配对空间组 bootstrap（主分组：tile 优先、0.1° 回退，B=2000，seed=20260910）：pooled RMSE 之差（C0R−C1）：iid_chopped Δ=-0.001046 CI [-0.001441, -0.000684]（CI 不含 0，C0R 更低）；ood-t_chopped Δ=-0.000411 CI [-0.001320, +0.000665]（**CI 跨 0，该 split 不可判定**）；ood-st_chopped Δ=-0.000111 CI [-0.000459, +0.000266]（**CI 跨 0，该 split 不可判定**）；ood-s_chopped Δ=-0.000513 CI [-0.000817, -0.000186]（CI 不含 0，C0R 更低）。0.5° 回退分组的敏感性结果（iid_chopped 组数 80、ood-t_chopped 组数 77、ood-st_chopped 组数 399、ood-s_chopped 组数 454）方向与主分组一致",**不声称“不劣于”**：本对照从未定义非劣性边界，因此**不做**非劣性检验；CI 跨 0 只表示该 split 上不可判定，既不等于等价、也不等于通过。统计量＝pooled RMSE 差（**非**官方 LC-balanced R²_LC），两者不可互换；CI 条件于本次空间分组定义
“历史及共享前缀只计算一次”能降低多查询成本,limited,supporting,"Table 7.3, Fig. 9",T7.3：分阶段中位耗时：history_encoding=29.47 ms、shared_prefix=0.39 ms、suffix/分支=0.41 ms、model_hash=33.35 ms、save=22.99 ms、restore(同设备)=34.66 ms；四条**完全相同**的查询下，适配器端到端 reuse=371.15 ms vs reencode=670.69 ms；成本模型比值 B1=1.00×、B2=1.97×、B4=3.84×、B8=7.30×；四条查询输出与纯计算副本**逐条一致**（最大绝对差 0.0）,**不设也不维持任何预设倍率**：该比值随查询数 B 变化（见成本模型公式），且适配器路径的 advance()/decode() 每次调用都做一次**全量 state-dict 哈希校验**，recompute 路径支付的次数是 reuse 路径的 4 倍，因此实测比值**不是**纯计算加速比。受限测量：单机单卡、单样本、batch 1、共享节点、仅推理。
任意分段 / 连续时间 / 完整物理状态 / 真实反事实,not_supported,out_of_scope,—,无对应证据；代码为整数索引步与有限 prior 窗口,论文不得如此表述；对应 A13/审计的术语纪律
指标口径边界（官方 LC-balanced 与 pooled 不可互换）,discipline_note,discipline,Table 1/3/4A vs Table 6/T3.2b,Table 1 / 3.2 / 3.3 / 4A 使用官方 GreenEarthNet chopped **LC-balanced** 评分器；Table 6A / 6B 与 T3.2b 使用 **pooled** 统计量；Table 1 的均值±样本std（n=3）与 Table 5 的热旱子集精度各自沿用其**原始定义**，未做跨表换算,两条口径不可互换、不可跨表比较；本包不提供任何口径换算后的数字
随机分段不可替代（相对固定五索引步）,not_supported,not_tested,—,本轮未做该比较；FSR 仅作历史登记，未进入 Table 3,不得据 FSR 缺席声称不可替代；也不把独立初始化普通递归基线列为必补缺口
