method,split,seed,row_kind,R2,rmse,nse,biasabs,rmse25,source,source_path,checkpoint_sha256,n,protocol
TerraState-C1,iid_chopped,27,seed,0.5221227296623094,0.15553134565527207,-0.1371321914093473,0.09965791511058748,0.09113276633702808,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed27/iid_chopped,bdb6486a6d4b0b708683909b8a1b3b4814167964f4e8770e5f3e4106b7ebdfba,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,iid_chopped,42,seed,0.5220196522155359,0.15552902418674006,-0.13695165362525286,0.0996499789098989,0.09116773626652225,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed42/iid_chopped,474f94340763e9ba5b7373316ff4d09b69fa398d3fac2df291b9bf9846a93819,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,iid_chopped,97,seed,0.5221394702894823,0.15553159986387227,-0.13699019277150892,0.09965480851716958,0.09114990573219726,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed97/iid_chopped,8e193b1e104a9a5aed56fcc62275775c57a7c8ddf11c585716797e3099d684f9,3,GreenEarthNet chopped official LC-balanced q1_full
ConvLSTM 1M,iid_chopped,27,seed,0.5108,0.1546,-0.0915,0.0965,0.0994,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,iid_chopped,42,seed,0.5121,0.1568,-0.113,0.0989,0.1024,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,iid_chopped,97,seed,0.5091,0.1557,-0.1092,0.098,0.0996,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,iid_chopped,27,seed,0.5541,0.1371,0.0982,0.0827,0.0869,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,iid_chopped,42,seed,0.5345,0.1449,0.013,0.0895,0.0917,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,iid_chopped,97,seed,0.5357,0.1449,0.0168,0.0884,0.0879,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,iid_chopped,27,seed,0.5003,0.1443,-0.0003,0.0854,0.1012,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
